time,value
1900-01-05 00:00:00+00:00,31622776601.683792
1900-01-06 00:00:00+00:00,0.0
1900-01-07 00:00:00+00:00,0.0
1900-01-08 00:00:00+00:00,0.0
1900-01-09 00:00:00+00:00,0.0
1900-01-10 00:00:00+00:00,0.0
1900-01-11 00:00:00+00:00,31622776601.683792
1900-01-12 00:00:00+00:00,0.0
1900-01-13 00:00:00+00:00,0.0
1900-01-14 00:00:00+00:00,0.0
1900-01-15 00:00:00+00:00,0.0
1900-01-16 00:00:00+00:00,0.0
1900-01-17 00:00:00+00:00,0.0
1900-01-18 00:00:00+00:00,0.0
1900-01-19 00:00:00+00:00,0.0
1900-01-20 00:00:00+00:00,89125093813.3744
1900-01-21 00:00:00+00:00,0.0
1900-01-22 00:00:00+00:00,0.0
1900-01-23 00:00:00+00:00,0.0
1900-01-24 00:00:00+00:00,0.0
1900-01-25 00:00:00+00:00,0.0
1900-01-26 00:00:00+00:00,0.0
1900-01-27 00:00:00+00:00,0.0
1900-01-28 00:00:00+00:00,0.0
1900-01-29 00:00:00+00:00,0.0
1900-01-30 00:00:00+00:00,0.0
1900-01-31 00:00:00+00:00,177827941003.89227
1900-02-01 00:00:00+00:00,0.0
1900-02-02 00:00:00+00:00,0.0
1900-02-03 00:00:00+00:00,0.0
1900-02-04 00:00:00+00:00,0.0
1900-02-05 00:00:00+00:00,0.0
1900-02-06 00:00:00+00:00,0.0
1900-02-07 00:00:00+00:00,0.0
1900-02-08 00:00:00+00:00,0.0
1900-02-09 00:00:00+00:00,0.0
1900-02-10 00:00:00+00:00,0.0
1900-02-11 00:00:00+00:00,0.0
1900-02-12 00:00:00+00:00,0.0
1900-02-13 00:00:00+00:00,0.0
1900-02-14 00:00:00+00:00,0.0
1900-02-15 00:00:00+00:00,0.0
1900-02-16 00:00:00+00:00,0.0
1900-02-17 00:00:00+00:00,0.0
1900-02-18 00:00:00+00:00,0.0
1900-02-19 00:00:00+00:00,0.0
1900-02-20 00:00:00+00:00,0.0
1900-02-21 00:00:00+00:00,0.0
1900-02-22 00:00:00+00:00,0.0
1900-02-23 00:00:00+00:00,0.0
1900-02-24 00:00:00+00:00,0.0
1900-02-25 00:00:00+00:00,0.0
1900-02-26 00:00:00+00:00,0.0
1900-02-27 00:00:00+00:00,0.0
1900-02-28 00:00:00+00:00,0.0
1900-03-01 00:00:00+00:00,0.0
1900-03-02 00:00:00+00:00,0.0
1900-03-03 00:00:00+00:00,0.0
1900-03-04 00:00:00+00:00,0.0
1900-03-05 00:00:00+00:00,0.0
1900-03-06 00:00:00+00:00,0.0
1900-03-07 00:00:00+00:00,0.0
1900-03-08 00:00:00+00:00,0.0
1900-03-09 00:00:00+00:00,0.0
1900-03-10 00:00:00+00:00,0.0
1900-03-11 00:00:00+00:00,0.0
1900-03-12 00:00:00+00:00,0.0
1900-03-13 00:00:00+00:00,0.0
1900-03-14 00:00:00+00:00,0.0
